frame,doa
0,[62.]
1,[61.]
2,[59.]
3,[58.]
4,[58.]
5,[59.]
6,[264.]
7,[268.]
8,[272.]
9,[250.]
10,[268.]
11,[238.]
12,[57.]
13,[56.]
14,[54.]
15,[54.]
16,[52.]
17,[51.]
18,[55.]
19,[51.]
20,[50.]
21,[52.]
22,[51.]
23,[206.]
24,[55.]
25,[215.]
26,[203.]
27,[265.]
28,[252.]
29,[264.]
30,[201.]
31,[206.]
32,[270.]
33,[195.]
34,[68.]
35,[67.]
36,[66.]
37,[68.]
38,[63.]
39,[67.]
40,[67.]
41,[68.]
42,[67.]
43,[70.]
44,[68.]
45,[68.]
46,[69.]
47,[72.]
48,[70.]
49,[68.]
50,[68.]
51,[71.]
52,[70.]
53,[70.]
54,[71.]
55,[244.]
56,[69.]
57,[200.]
58,[260.]
59,[255.]
60,[248.]
61,[238.]
62,[245.]
63,[262.]
64,[245.]
65,[251.]
66,[242.]
67,[242.]
68,[239.]
69,[239.]
70,[239.]
71,[235.]
72,[254.]
73,[251.]
74,[216.]
75,[212.]
76,[210.]
77,[260.]
78,[256.]
79,[252.]
80,[212.]
81,[333.]
82,[334.]
83,[208.]
84,[207.]
85,[197.]
86,[229.]
87,[273.]
88,[265.]
89,[273.]
90,[277.]
91,[237.]
92,[230.]
93,[240.]
94,[237.]
95,[245.]
96,[247.]
97,[247.]
98,[244.]
99,[250.]
100,[249.]
101,[254.]
102,[283.]
103,[58.]
104,[275.]
105,[61.]
106,[62.]
107,[61.]
108,[61.]
109,[64.]
110,[278.]
111,[277.]
112,[280.]
113,[65.]
114,[63.]
115,[63.]
116,[150.]
117,[69.]
118,[152.]
119,[122.]
120,[152.]
121,[223.]
122,[237.]
123,[220.]
124,[161.]
125,[166.]
126,[211.]
127,[158.]
128,[150.]
129,[150.]
130,[268.]
131,[257.]
132,[148.]
133,[104.]
134,[207.]
135,[192.]
136,[142.]
137,[140.]
138,[282.]
139,[274.]
140,[268.]
141,[264.]
142,[288.]
143,[279.]
144,[295.]
145,[291.]
146,[282.]
147,[285.]
148,[280.]
149,[279.]
150,[280.]
151,[288.]
152,[287.]
153,[307.]
154,[316.]
155,[324.]
156,[317.]
157,[317.]
158,[320.]
159,[322.]
160,[320.]
161,[324.]
162,[320.]
163,[321.]
164,[313.]
165,[275.]
166,[282.]
167,[272.]
168,[47.]
169,[49.]
170,[48.]
171,[50.]
172,[49.]
173,[50.]
174,[49.]
175,[47.]
176,[274.]
177,[275.]
178,[274.]
179,[275.]
180,[276.]
181,[273.]
182,[274.]
183,[253.]
184,[246.]
185,[267.]
186,[242.]
187,[241.]
188,[241.]
189,[245.]
190,[267.]
191,[240.]
192,[242.]
193,[61.]
194,[61.]
195,[60.]
196,[204.]
197,[205.]
198,[60.]
199,[62.]
200,[62.]
201,[61.]
202,[62.]
203,[62.]
204,[274.]
205,[61.]
206,[61.]
207,[68.]
208,[61.]
209,[61.]
210,[58.]
211,[63.]
212,[61.]
213,[61.]
214,[62.]
215,[60.]
216,[64.]
217,[61.]
218,[62.]
219,[60.]
220,[62.]
221,[62.]
222,[64.]
223,[61.]
