frame,Nose_x,Nose_y,Nose_c,Neck_x,Neck_y,Neck_c,RShoulder_x,RShoulder_y,RShoulder_c,RElbow_x,RElbow_y,RElbow_c,RWrist_x,RWrist_y,RWrist_c,LShoulder_x,LShoulder_y,LShoulder_c,LElbow_x,LElbow_y,LElbow_c,LWrist_x,LWrist_y,LWrist_c,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,RAnkle_x,RAnkle_y,RAnkle_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,REye_x,REye_y,REye_c,LEye_x,LEye_y,LEye_c,REar_x,REar_y,REar_c,LEar_x,LEar_y,LEar_c,LBigToe_x,LBigToe_y,LBigToe_c,LSmallToe_x,LSmallToe_y,LSmallToe_c,LHeel_x,LHeel_y,LHeel_c,RBigToe_x,RBigToe_y,RBigToe_c,RSmallToe_x,RSmallToe_y,RSmallToe_c,RHeel_x,RHeel_y,RHeel_c
1,1380.12,237.946,0.842359,1378.95,320.47,0.628099,1324.67,321.617,0.474629,0,0,0,0,0,0,1434.38,315.991,0.599003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369.84,229.993,0.868004,1391.39,228.875,0.814876,1351.75,248.139,0.673332,1407.16,242.498,0.546581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,636.008,222.131,0.818794,662.023,322.781,0.326987,573.81,328.43,0.131443,0,0,0,0,0,0,745.685,323.921,0.383787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612.268,206.308,0.780156,656.38,198.394,0.835495,593.029,226.663,0.408391,686.876,213.112,0.574585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1658.23,240.215,0.60757,1657.12,288.842,0.491983,1602.81,291.126,0.446046,1593.78,366.888,0.106891,0,0,0,1707.99,286.609,0.296899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642.38,230.003,0.708045,1668.43,227.805,0.673573,1624.29,240.253,0.469776,1687.62,240.267,0.512285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1380.12,237.972,0.868445,1377.8,321.625,0.675298,1324.65,321.663,0.54846,0,0,0,0,0,0,1433.24,319.387,0.610313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369.85,230.008,0.905348,1393.65,230.029,0.862404,1349.55,249.247,0.671683,1407.25,248.149,0.525566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1098.49,249.242,0.841802,1134.67,320.484,0.661226,1073.62,325.023,0.497669,1018.23,392.871,0.224903,0,0,0,1195.74,312.626,0.496359,1202.54,398.537,0.079375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088.3,239.074,0.828798,1114.34,232.321,0.809306,1080.39,249.257,0.0773636,1148.25,242.473,0.748039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1652.57,237.925,0.823989,1651.45,285.497,0.717852,1598.32,287.717,0.620136,1588.16,355.571,0.278918,0,0,0,1705.72,286.588,0.453691,1739.64,257.2,0.740935,1693.3,235.69,0.341298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641.28,224.411,0.849846,1667.31,227.785,0.827415,1623.22,239.095,0.711586,1686.47,247.029,0.682941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,630.362,222.185,0.821523,665.381,320.527,0.479481,593.05,314.856,0.314953,565.88,400.803,0.301943,593.031,275.314,0.629642,745.706,325.023,0.412436,810.138,413.247,0.107248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610.012,209.689,0.80667,655.209,201.746,0.859123,593.07,223.3,0.281706,683.456,215.362,0.616032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1381.17,239.056,0.879591,1380.04,321.631,0.735842,1325.83,321.69,0.595289,0,0,0,0,0,0,1434.31,319.392,0.673671,1470.51,381.574,0.0653215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369.84,230.064,0.91335,1393.65,230.083,0.880538,1350.64,249.276,0.670425,1407.25,249.282,0.491613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1098.49,249.268,0.837881,1134.72,317.115,0.650239,1078.16,320.545,0.524551,1022.73,386.099,0.266049,975.257,387.218,0.0753093,1196.85,311.485,0.535132,1201.4,399.673,0.12564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088.29,239.058,0.793395,1115.43,231.245,0.822739,1080.39,248.166,0.052736,1147.14,240.271,0.767919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1652.57,237.922,0.815714,1651.48,288.838,0.644863,1598.33,288.843,0.587016,1589.29,356.705,0.242133,0,0,0,1705.74,291.102,0.395881,1740.75,257.161,0.494506,1691.05,232.301,0.170761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641.29,224.414,0.853882,1668.37,228.876,0.823831,1624.27,240.187,0.692688,1686.5,247.027,0.652185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
